Time,X,Y,Z
2016-06-21T06:04:00.0Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.02Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.04Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.06Z,56606.67,8246.67,-28106.67
2016-06-21T06:04:00.08Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.1Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.12Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.14Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.16Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.18Z,56600.0,8246.67,-28113.33
2016-06-21T06:04:00.2Z,56600.0,8253.33,-28113.33
2016-06-21T06:04:00.22Z,56600.0,8253.33,-28113.33
2016-06-21T06:04:00.24Z,56606.67,8246.67,-28113.33
2016-06-21T06:04:00.26Z,56606.67,8253.33,-28113.33
2016-06-21T06:04:00.28Z,56606.67,8253.33,-28106.67
2016-06-21T06:04:00.3Z,56606.67,8253.33,-28106.67
2016-06-21T06:04:00.32Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.34Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.36Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.38Z,56600.0,8253.33,-28113.33
2016-06-21T06:04:00.4Z,56606.67,8253.33,-28113.33
2016-06-21T06:04:00.42Z,56613.33,8253.33,-28113.33
2016-06-21T06:04:00.44Z,56606.67,8246.67,-28106.67
2016-06-21T06:04:00.46Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.48Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.5Z,56606.67,8253.33,-28106.67
2016-06-21T06:04:00.52Z,56600.0,8253.33,-28113.33
2016-06-21T06:04:00.54Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.56Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.58Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.6Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.62Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.64Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.66Z,56606.67,8246.67,-28106.67
2016-06-21T06:04:00.68Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.70Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.72Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.74Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.76Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.78Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.8Z,56600.0,8253.33,-28093.33
2016-06-21T06:04:00.82Z,56593.33,8253.33,-28093.33
2016-06-21T06:04:00.84Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.86Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.88Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.9Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.92Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.94Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.96Z,56600.0,8253.33,-28093.33
2016-06-21T06:04:00.98Z,56593.33,8246.67,-28086.67
2016-06-21T06:04:00.0Z,56593.33,8246.67,-28086.67
2016-06-21T06:04:00.02Z,56593.33,8246.67,-28093.33
2016-06-21T06:04:00.04Z,56593.33,8246.67,-28093.33
2016-06-21T06:04:00.06Z,56600.0,8253.33,-28086.67
2016-06-21T06:04:00.08Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:00.1Z,56593.33,8246.67,-28086.67
2016-06-21T06:04:00.12Z,56593.33,8246.67,-28086.67
2016-06-21T06:04:00.14Z,56593.33,8246.67,-28086.67
2016-06-21T06:04:00.16Z,56600.0,8246.67,-28080.0
2016-06-21T06:04:00.18Z,56600.0,8253.33,-28086.67
2016-06-21T06:04:00.2Z,56600.0,8253.33,-28086.67
2016-06-21T06:04:00.22Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:00.24Z,56593.33,8246.67,-28086.67
2016-06-21T06:04:00.26Z,56593.33,8246.67,-28093.33
2016-06-21T06:04:00.28Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.3Z,56606.67,8246.67,-28086.67
2016-06-21T06:04:00.32Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:00.34Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:00.36Z,56600.0,8253.33,-28093.33
2016-06-21T06:04:00.38Z,56600.0,8253.33,-28093.33
2016-06-21T06:04:00.40Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.42Z,56606.67,8246.67,-28106.67
2016-06-21T06:04:00.44Z,56600.0,8253.33,-28093.33
2016-06-21T06:04:00.46Z,56600.0,8253.33,-28093.33
2016-06-21T06:04:00.48Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.5Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.52Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.54Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.56Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.58Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.6Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.62Z,56593.33,8246.67,-28093.33
2016-06-21T06:04:00.64Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.66Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.68Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.7Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.72Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.74Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.76Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.78Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.8Z,56606.67,8253.33,-28106.67
2016-06-21T06:04:00.82Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.84Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.86Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.88Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.90Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.92Z,56600.0,8253.33,-28113.33
2016-06-21T06:04:00.94Z,56600.0,8253.33,-28113.33
2016-06-21T06:04:00.96Z,56606.67,8253.33,-28113.33
2016-06-21T06:04:00.98Z,56606.67,8253.33,-28113.33
2016-06-21T06:04:00.0Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.02Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.04Z,56606.67,8253.33,-28113.33
2016-06-21T06:04:00.06Z,56600.0,8253.33,-28113.33
2016-06-21T06:04:00.08Z,56606.67,8246.67,-28106.67
2016-06-21T06:04:00.1Z,56606.67,8246.67,-28106.67
2016-06-21T06:04:00.12Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.14Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.16Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.18Z,56606.67,8246.67,-28106.67
2016-06-21T06:04:00.2Z,56606.67,8246.67,-28106.67
2016-06-21T06:04:00.22Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.24Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:00.26Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.28Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.30Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.32Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.34Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.36Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.38Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:00.4Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.42Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:00.44Z,56606.67,8253.33,-28093.33
2016-06-21T06:04:01.0Z,56606.67,8253.33,-28093.33
2016-06-21T06:04:01.02Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.04Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:01.06Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:01.08Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:01.1Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:01.12Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:01.14Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:01.16Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:01.18Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:01.2Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:01.22Z,56593.33,8246.67,-28080.0
2016-06-21T06:04:01.24Z,56593.33,8253.33,-28080.0
2016-06-21T06:04:01.26Z,56600.0,8253.33,-28086.67
2016-06-21T06:04:01.28Z,56600.0,8253.33,-28086.67
2016-06-21T06:04:01.3Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:01.32Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:01.34Z,56593.33,8253.33,-28086.67
2016-06-21T06:04:01.36Z,56600.0,8253.33,-28086.67
2016-06-21T06:04:01.38Z,56600.0,8246.67,-28086.67
2016-06-21T06:04:01.4Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.42Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.44Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.46Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.48Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.5Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.52Z,56606.67,8246.67,-28093.33
2016-06-21T06:04:01.54Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.56Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.58Z,56606.67,8246.67,-28093.33
2016-06-21T06:04:01.6Z,56606.67,8246.67,-28093.33
2016-06-21T06:04:01.62Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.64Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.66Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:01.68Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:01.70Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.72Z,56600.0,8246.67,-28093.33
2016-06-21T06:04:01.74Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:01.76Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:01.78Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:01.8Z,56600.0,8246.67,-28113.33
2016-06-21T06:04:01.82Z,56600.0,8253.33,-28113.33
2016-06-21T06:04:01.84Z,56600.0,8253.33,-28106.67
2016-06-21T06:04:01.86Z,56600.0,8246.67,-28106.67
2016-06-21T06:04:01.88Z,56606.67,8246.67,-28106.67
2016-06-21T06:04:01.9Z,56606.67,8246.67,-28106.67
2016-06-21T06:04:01.92Z,56606.67,8253.33,-28106.67
2016-06-21T06:04:01.94Z,56606.67,8253.33,-28106.67
2016-06-21T06:04:01.96Z,56606.67,8246.67,-28106.67
2016-06-21T06:04:01.98Z,56600.0,8246.67,-28113.33
2016-06-21T06:04:01.0Z,56600.0,8246.67,-28113.33
2016-06-21T06:04:01.02Z,56606.67,8253.33,-28113.33
2016-06-21T06:04:01.04Z,56606.67,8253.33,-28113.33
2016-06-21T06:04:01.06Z,56606.67,8246.67,-28113.33
2016-06-21T06:04:01.08Z,56606.67,8246.67,-28113.33
2016-06-21T06:04:01.1Z,56606.67,8253.33,-28113.33
2016-06-21T06:04:01.12Z,56606.67,8253.33,-28106.67
2016-06-21T06:04:01.14Z,56606.67,8253.33,-28106.67
2016-06-21T06:04:01.16Z,56606.67,8253.33,-28106.67
2016-06-21T06:04:01.18Z,56606.67,8246.67,-28106.67
2016-06-21T06:04:01.2Z,56606.67,8246.67,-28106.67
