Time,X,Y,Z
2019-08-01T17:44:00.0Z,30346.67,-14166.67,17406.67
2019-08-01T17:44:00.02Z,30293.33,-14100.0,17400.0
2019-08-01T17:44:00.04Z,30233.33,-13993.33,17453.33
2019-08-01T17:44:00.06Z,30220.0,-13960.0,17493.33
2019-08-01T17:44:00.08Z,30266.67,-14020.0,17493.33
2019-08-01T17:44:00.1Z,30326.67,-14126.67,17453.33
2019-08-01T17:44:00.12Z,30340.0,-14160.0,17406.67
2019-08-01T17:44:00.14Z,30286.67,-14093.33,17400.0
2019-08-01T17:44:00.16Z,30233.33,-13986.67,17460.0
2019-08-01T17:44:00.18Z,30226.67,-13953.33,17506.67
2019-08-01T17:44:00.2Z,30280.0,-14020.0,17493.33
2019-08-01T17:44:00.22Z,30340.0,-14133.33,17453.33
2019-08-01T17:44:00.24Z,30340.0,-14166.67,17400.0
2019-08-01T17:44:00.26Z,30280.0,-14080.0,17406.67
2019-08-01T17:44:00.28Z,30226.67,-13980.0,17460.0
2019-08-01T17:44:00.3Z,30226.67,-13953.33,17506.67
2019-08-01T17:44:00.32Z,30286.67,-14033.33,17493.33
2019-08-01T17:44:00.34Z,30346.67,-14140.0,17440.0
2019-08-01T17:44:00.36Z,30340.0,-14160.0,17400.0
2019-08-01T17:44:00.38Z,30280.0,-14066.67,17406.67
2019-08-01T17:44:00.4Z,30226.67,-13973.33,17466.67
2019-08-01T17:44:00.42Z,30233.33,-13960.0,17506.67
2019-08-01T17:44:00.44Z,30286.67,-14040.0,17486.67
2019-08-01T17:44:00.46Z,30346.67,-14140.0,17433.33
2019-08-01T17:44:00.48Z,30340.0,-14153.33,17400.0
2019-08-01T17:44:00.5Z,30266.67,-14060.0,17406.67
2019-08-01T17:44:00.52Z,30226.67,-13973.33,17466.67
2019-08-01T17:44:00.54Z,30233.33,-13973.33,17506.67
2019-08-01T17:44:00.56Z,30293.33,-14060.0,17486.67
2019-08-01T17:44:00.58Z,30346.67,-14153.33,17433.33
2019-08-01T17:44:00.6Z,30326.67,-14153.33,17400.0
2019-08-01T17:44:00.62Z,30260.0,-14060.0,17413.33
2019-08-01T17:44:00.64Z,30226.67,-13973.33,17480.0
2019-08-01T17:44:00.66Z,30246.67,-13973.33,17513.33
2019-08-01T17:44:00.68Z,30293.33,-14066.67,17486.67
2019-08-01T17:44:00.70Z,30346.67,-14160.0,17433.33
2019-08-01T17:44:00.72Z,30326.67,-14140.0,17400.0
2019-08-01T17:44:00.74Z,30253.33,-14040.0,17426.67
2019-08-01T17:44:00.76Z,30220.0,-13960.0,17480.0
2019-08-01T17:44:00.78Z,30246.67,-13980.0,17506.67
2019-08-01T17:44:00.8Z,30306.67,-14073.33,17480.0
2019-08-01T17:44:00.82Z,30346.67,-14160.0,17426.67
2019-08-01T17:44:00.84Z,30320.0,-14140.0,17400.0
2019-08-01T17:44:00.86Z,30253.33,-14040.0,17426.67
2019-08-01T17:44:00.88Z,30220.0,-13973.33,17480.0
2019-08-01T17:44:00.9Z,30253.33,-13986.67,17506.67
2019-08-01T17:44:00.92Z,30313.33,-14080.0,17480.0
2019-08-01T17:44:00.94Z,30346.67,-14160.0,17426.67
2019-08-01T17:44:00.96Z,30320.0,-14126.67,17400.0
2019-08-01T17:44:00.98Z,30253.33,-14013.33,17426.67
2019-08-01T17:44:01.0Z,30220.0,-13953.33,17486.67
2019-08-01T17:44:01.02Z,30253.33,-13993.33,17513.33
2019-08-01T17:44:01.04Z,30313.33,-14100.0,17480.0
2019-08-01T17:44:01.06Z,30346.67,-14166.67,17426.67
2019-08-01T17:44:01.08Z,30313.33,-14126.67,17400.0
2019-08-01T17:44:01.1Z,30246.67,-14013.33,17433.33
2019-08-01T17:44:01.12Z,30220.0,-13946.67,17486.67
2019-08-01T17:44:01.14Z,30260.0,-13993.33,17506.67
2019-08-01T17:44:01.16Z,30320.0,-14100.0,17466.67
2019-08-01T17:44:01.18Z,30346.67,-14166.67,17413.33
2019-08-01T17:44:01.2Z,30313.33,-14126.67,17400.0
2019-08-01T17:44:01.22Z,30233.33,-14013.33,17433.33
2019-08-01T17:44:01.24Z,30220.0,-13953.33,17493.33
2019-08-01T17:44:01.26Z,30260.0,-14006.67,17506.67
2019-08-01T17:44:01.28Z,30320.0,-14106.67,17460.0
2019-08-01T17:44:01.3Z,30346.67,-14160.0,17406.67
2019-08-01T17:44:01.32Z,30306.67,-14106.67,17400.0
2019-08-01T17:44:01.34Z,30233.33,-14006.67,17440.0
2019-08-01T17:44:01.36Z,30226.67,-13953.33,17493.33
2019-08-01T17:44:01.38Z,30266.67,-14013.33,17506.67
2019-08-01T17:44:01.4Z,30326.67,-14120.0,17460.0
2019-08-01T17:44:01.42Z,30346.67,-14160.0,17406.67
2019-08-01T17:44:01.44Z,30306.67,-14093.33,17400.0
2019-08-01T17:44:01.46Z,30233.33,-13980.0,17440.0
2019-08-01T17:44:01.48Z,30226.67,-13953.33,17493.33
2019-08-01T17:44:01.5Z,30280.0,-14033.33,17506.67
2019-08-01T17:44:01.52Z,30326.67,-14133.33,17460.0
2019-08-01T17:44:01.54Z,30340.0,-14166.67,17406.67
2019-08-01T17:44:01.56Z,30293.33,-14100.0,17406.67
2019-08-01T17:44:01.58Z,30226.67,-13986.67,17453.33
2019-08-01T17:44:01.6Z,30226.67,-13946.67,17506.67
2019-08-01T17:44:01.62Z,30286.67,-14020.0,17506.67
2019-08-01T17:44:01.64Z,30326.67,-14133.33,17453.33
2019-08-01T17:44:01.66Z,30340.0,-14160.0,17400.0
2019-08-01T17:44:01.68Z,30286.67,-14093.33,17406.67
2019-08-01T17:44:01.70Z,30226.67,-13980.0,17460.0
2019-08-01T17:44:01.72Z,30226.67,-13953.33,17506.67
2019-08-01T17:44:01.74Z,30286.67,-14040.0,17493.33
2019-08-01T17:44:01.76Z,30340.0,-14133.33,17440.0
2019-08-01T17:44:01.78Z,30340.0,-14153.33,17400.0
2019-08-01T17:44:01.8Z,30286.67,-14073.33,17413.33
2019-08-01T17:44:01.82Z,30226.67,-13973.33,17460.0
2019-08-01T17:44:01.84Z,30226.67,-13960.0,17506.67
2019-08-01T17:44:01.86Z,30293.33,-14060.0,17493.33
2019-08-01T17:44:01.88Z,30340.0,-14153.33,17440.0
2019-08-01T17:44:01.9Z,30326.67,-14153.33,17400.0
2019-08-01T17:44:01.92Z,30280.0,-14066.67,17413.33
2019-08-01T17:44:01.94Z,30226.67,-13960.0,17466.67
2019-08-01T17:44:01.96Z,30233.33,-13960.0,17506.67
2019-08-01T17:44:01.98Z,30306.67,-14060.0,17493.33
2019-08-01T17:44:02.0Z,30346.67,-14153.33,17433.33
2019-08-01T17:44:02.02Z,30326.67,-14153.33,17400.0
2019-08-01T17:44:02.04Z,30266.67,-14060.0,17413.33
2019-08-01T17:44:02.06Z,30220.0,-13960.0,17480.0
2019-08-01T17:44:02.08Z,30233.33,-13960.0,17513.33
2019-08-01T17:44:02.1Z,30306.67,-14066.67,17486.67
2019-08-01T17:44:02.12Z,30346.67,-14153.33,17426.67
2019-08-01T17:44:02.14Z,30320.0,-14153.33,17400.0
2019-08-01T17:44:02.16Z,30260.0,-14060.0,17426.67
2019-08-01T17:44:02.18Z,30220.0,-13973.33,17480.0
2019-08-01T17:44:02.2Z,30233.33,-13980.0,17506.67
2019-08-01T17:44:02.22Z,30313.33,-14073.33,17480.0
2019-08-01T17:44:02.24Z,30346.67,-14153.33,17413.33
2019-08-01T17:44:02.26Z,30320.0,-14133.33,17386.67
2019-08-01T17:44:02.28Z,30260.0,-14040.0,17426.67
2019-08-01T17:44:02.3Z,30220.0,-13960.0,17480.0
2019-08-01T17:44:02.32Z,30246.67,-13986.67,17506.67
2019-08-01T17:44:02.34Z,30313.33,-14093.33,17480.0
2019-08-01T17:44:02.36Z,30346.67,-14160.0,17413.33
2019-08-01T17:44:02.38Z,30313.33,-14133.33,17400.0
2019-08-01T17:44:02.4Z,30260.0,-14033.33,17426.67
2019-08-01T17:44:02.42Z,30220.0,-13953.33,17480.0
2019-08-01T17:44:02.44Z,30246.67,-13986.67,17506.67
2019-08-01T17:44:02.46Z,30313.33,-14100.0,17480.0
2019-08-01T17:44:02.48Z,30346.67,-14166.67,17426.67
2019-08-01T17:44:02.5Z,30313.33,-14126.67,17400.0
2019-08-01T17:44:02.52Z,30253.33,-14020.0,17433.33
2019-08-01T17:44:02.54Z,30220.0,-13953.33,17486.67
2019-08-01T17:44:02.56Z,30253.33,-13993.33,17506.67
2019-08-01T17:44:02.58Z,30320.0,-14106.67,17466.67
2019-08-01T17:44:02.6Z,30346.67,-14166.67,17406.67
2019-08-01T17:44:02.62Z,30306.67,-14120.0,17400.0
2019-08-01T17:44:02.64Z,30246.67,-14013.33,17440.0
2019-08-01T17:44:02.66Z,30220.0,-13953.33,17493.33
2019-08-01T17:44:02.68Z,30260.0,-13993.33,17506.67
