Time,X,Y,Z
2019-07-23T20:26:00.0Z,-24060.0,11186.67,-112933.33
2019-07-23T20:26:00.02Z,-24046.67,11153.33,-112933.33
2019-07-23T20:26:00.04Z,-24026.67,11033.33,-112940.0
2019-07-23T20:26:00.06Z,-24033.33,10973.33,-112993.33
2019-07-23T20:26:00.08Z,-24053.33,11026.67,-113013.33
2019-07-23T20:26:00.1Z,-24060.0,11120.0,-112960.0
2019-07-23T20:26:00.12Z,-24060.0,11193.33,-112933.33
2019-07-23T20:26:00.14Z,-24046.67,11146.67,-112933.33
2019-07-23T20:26:00.16Z,-24026.67,11033.33,-112953.33
2019-07-23T20:26:00.18Z,-24033.33,10973.33,-112993.33
2019-07-23T20:26:00.2Z,-24053.33,11026.67,-113006.67
2019-07-23T20:26:00.22Z,-24073.33,11133.33,-112960.0
2019-07-23T20:26:00.24Z,-24060.0,11193.33,-112926.67
2019-07-23T20:26:00.26Z,-24046.67,11146.67,-112933.33
2019-07-23T20:26:00.28Z,-24026.67,11026.67,-112953.33
2019-07-23T20:26:00.3Z,-24033.33,10973.33,-112993.33
2019-07-23T20:26:00.32Z,-24060.0,11033.33,-113006.67
2019-07-23T20:26:00.34Z,-24060.0,11146.67,-112953.33
2019-07-23T20:26:00.36Z,-24060.0,11193.33,-112926.67
2019-07-23T20:26:00.38Z,-24046.67,11126.67,-112933.33
2019-07-23T20:26:00.4Z,-24026.67,11013.33,-112960.0
2019-07-23T20:26:00.42Z,-24046.67,10973.33,-112993.33
2019-07-23T20:26:00.44Z,-24060.0,11046.67,-113006.67
2019-07-23T20:26:00.46Z,-24073.33,11153.33,-112953.33
2019-07-23T20:26:00.48Z,-24060.0,11186.67,-112926.67
2019-07-23T20:26:00.5Z,-24046.67,11120.0,-112933.33
2019-07-23T20:26:00.52Z,-24033.33,11006.67,-112960.0
2019-07-23T20:26:00.54Z,-24046.67,10980.0,-112993.33
2019-07-23T20:26:00.56Z,-24073.33,11060.0,-113006.67
2019-07-23T20:26:00.58Z,-24073.33,11153.33,-112953.33
2019-07-23T20:26:00.6Z,-24060.0,11186.67,-112926.67
2019-07-23T20:26:00.62Z,-24046.67,11100.0,-112940.0
2019-07-23T20:26:00.64Z,-24026.67,11000.0,-112966.67
2019-07-23T20:26:00.66Z,-24046.67,10980.0,-113006.67
2019-07-23T20:26:00.68Z,-24073.33,11066.67,-112993.33
2019-07-23T20:26:00.70Z,-24073.33,11166.67,-112940.0
2019-07-23T20:26:00.72Z,-24053.33,11186.67,-112906.67
2019-07-23T20:26:00.74Z,-24033.33,11100.0,-112940.0
2019-07-23T20:26:00.76Z,-24033.33,11000.0,-112966.67
2019-07-23T20:26:00.78Z,-24046.67,10980.0,-112993.33
