Time,X,Y,Z
2019-07-23T20:27:00.0Z,-24033.33,10980.0,-112993.33
2019-07-23T20:27:00.02Z,-24053.33,11013.33,-112993.33
2019-07-23T20:27:00.04Z,-24073.33,11120.0,-112980.0
2019-07-23T20:27:00.06Z,-24073.33,11180.0,-112933.33
2019-07-23T20:27:00.08Z,-24046.67,11133.33,-112906.67
2019-07-23T20:27:00.1Z,-24026.67,11040.0,-112966.67
2019-07-23T20:27:00.12Z,-24026.67,11006.67,-113006.67
2019-07-23T20:27:00.14Z,-24046.67,11046.67,-112993.33
2019-07-23T20:27:00.16Z,-24073.33,11146.67,-112980.0
2019-07-23T20:27:00.18Z,-24060.0,11180.0,-112926.67
2019-07-23T20:27:00.2Z,-24046.67,11120.0,-112926.67
2019-07-23T20:27:00.22Z,-24046.67,11006.67,-112966.67
2019-07-23T20:27:00.24Z,-24046.67,10953.33,-112993.33
2019-07-23T20:27:00.26Z,-24060.0,11040.0,-112993.33
2019-07-23T20:27:00.28Z,-24060.0,11166.67,-112980.0
2019-07-23T20:27:00.3Z,-24053.33,11213.33,-112933.33
2019-07-23T20:27:00.32Z,-24033.33,11133.33,-112926.67
2019-07-23T20:27:00.34Z,-24026.67,11026.67,-112980.0
2019-07-23T20:27:00.36Z,-24033.33,10973.33,-113006.67
2019-07-23T20:27:00.38Z,-24053.33,11033.33,-112986.67
2019-07-23T20:27:00.4Z,-24073.33,11153.33,-112960.0
2019-07-23T20:27:00.42Z,-24060.0,11193.33,-112926.67
2019-07-23T20:27:00.44Z,-24046.67,11126.67,-112926.67
2019-07-23T20:27:00.46Z,-24026.67,11026.67,-112980.0
2019-07-23T20:27:00.48Z,-24033.33,10986.67,-113006.67
2019-07-23T20:27:00.5Z,-24060.0,11060.0,-112986.67
2019-07-23T20:27:00.52Z,-24073.33,11153.33,-112960.0
2019-07-23T20:27:00.54Z,-24060.0,11180.0,-112926.67
2019-07-23T20:27:00.56Z,-24033.33,11100.0,-112926.67
2019-07-23T20:27:00.58Z,-24033.33,11006.67,-112980.0
2019-07-23T20:27:00.6Z,-24046.67,10986.67,-113006.67
2019-07-23T20:27:00.62Z,-24060.0,11060.0,-112980.0
2019-07-23T20:27:00.64Z,-24073.33,11166.67,-112953.33
2019-07-23T20:27:00.66Z,-24053.33,11186.67,-112926.67
2019-07-23T20:27:00.68Z,-24033.33,11093.33,-112926.67
2019-07-23T20:27:00.70Z,-24033.33,11000.0,-112980.0
2019-07-23T20:27:00.72Z,-24046.67,10986.67,-113006.67
2019-07-23T20:27:00.74Z,-24060.0,11066.67,-112980.0
2019-07-23T20:27:00.76Z,-24073.33,11166.67,-112953.33
2019-07-23T20:27:00.78Z,-24053.33,11186.67,-112933.33
2019-07-23T20:27:00.8Z,-24026.67,11086.67,-112933.33
2019-07-23T20:27:00.82Z,-24026.67,10986.67,-112986.67
2019-07-23T20:27:00.84Z,-24046.67,10986.67,-113006.67
2019-07-23T20:27:00.86Z,-24060.0,11073.33,-112966.67
2019-07-23T20:27:00.88Z,-24060.0,11180.0,-112940.0
2019-07-23T20:27:00.9Z,-24053.33,11180.0,-112926.67
2019-07-23T20:27:00.92Z,-24033.33,11086.67,-112933.33
2019-07-23T20:27:00.94Z,-24033.33,11000.0,-112986.67
2019-07-23T20:27:00.96Z,-24053.33,11006.67,-113006.67
2019-07-23T20:27:00.98Z,-24073.33,11093.33,-112966.67
2019-07-23T20:27:01.0Z,-24073.33,11180.0,-112940.0
2019-07-23T20:27:01.02Z,-24060.0,11160.0,-112926.67
2019-07-23T20:27:01.04Z,-24033.33,11060.0,-112940.0
2019-07-23T20:27:01.06Z,-24033.33,10986.67,-112993.33
2019-07-23T20:27:01.08Z,-24053.33,11006.67,-113013.33
2019-07-23T20:27:01.1Z,-24060.0,11100.0,-112966.67
2019-07-23T20:27:01.12Z,-24060.0,11186.67,-112940.0
2019-07-23T20:27:01.14Z,-24053.33,11160.0,-112933.33
2019-07-23T20:27:01.16Z,-24033.33,11046.67,-112940.0
2019-07-23T20:27:01.18Z,-24033.33,10980.0,-112993.33
2019-07-23T20:27:01.2Z,-24053.33,11006.67,-113013.33
2019-07-23T20:27:01.22Z,-24073.33,11106.67,-112966.67
2019-07-23T20:27:01.24Z,-24060.0,11186.67,-112933.33
2019-07-23T20:27:01.26Z,-24046.67,11160.0,-112926.67
2019-07-23T20:27:01.28Z,-24033.33,11046.67,-112940.0
2019-07-23T20:27:01.3Z,-24033.33,10973.33,-112993.33
2019-07-23T20:27:01.32Z,-24053.33,11013.33,-113013.33
2019-07-23T20:27:01.34Z,-24073.33,11106.67,-112960.0
2019-07-23T20:27:01.36Z,-24073.33,11180.0,-112933.33
2019-07-23T20:27:01.38Z,-24046.67,11146.67,-112933.33
2019-07-23T20:27:01.4Z,-24026.67,11040.0,-112953.33
2019-07-23T20:27:01.42Z,-24033.33,10980.0,-113006.67
2019-07-23T20:27:01.44Z,-24053.33,11026.67,-113006.67
2019-07-23T20:27:01.46Z,-24073.33,11133.33,-112953.33
2019-07-23T20:27:01.48Z,-24060.0,11186.67,-112926.67
2019-07-23T20:27:01.5Z,-24046.67,11133.33,-112933.33
2019-07-23T20:27:01.52Z,-24026.67,11026.67,-112953.33
2019-07-23T20:27:01.54Z,-24033.33,10973.33,-112993.33
2019-07-23T20:27:01.56Z,-24060.0,11040.0,-113006.67
2019-07-23T20:27:01.58Z,-24073.33,11133.33,-112953.33
2019-07-23T20:27:01.6Z,-24060.0,11186.67,-112926.67
2019-07-23T20:27:01.62Z,-24046.67,11133.33,-112933.33
2019-07-23T20:27:01.64Z,-24026.67,11026.67,-112960.0
2019-07-23T20:27:01.66Z,-24033.33,10980.0,-113006.67
2019-07-23T20:27:01.68Z,-24060.0,11040.0,-113006.67
2019-07-23T20:27:01.70Z,-24073.33,11146.67,-112953.33
2019-07-23T20:27:01.72Z,-24060.0,11180.0,-112906.67
2019-07-23T20:27:01.74Z,-24046.67,11120.0,-112933.33
2019-07-23T20:27:01.76Z,-24026.67,11013.33,-112960.0
2019-07-23T20:27:01.78Z,-24033.33,10980.0,-112993.33
2019-07-23T20:27:01.8Z,-24060.0,11060.0,-113006.67
2019-07-23T20:27:01.82Z,-24073.33,11153.33,-112940.0
2019-07-23T20:27:01.84Z,-24060.0,11180.0,-112906.67
2019-07-23T20:27:01.86Z,-24046.67,11106.67,-112940.0
2019-07-23T20:27:01.88Z,-24026.67,11006.67,-112966.67
2019-07-23T20:27:01.9Z,-24046.67,10986.67,-113006.67
2019-07-23T20:27:01.92Z,-24060.0,11066.67,-112993.33
2019-07-23T20:27:01.94Z,-24073.33,11160.0,-112940.0
2019-07-23T20:27:01.96Z,-24053.33,11180.0,-112906.67
2019-07-23T20:27:01.98Z,-24033.33,11093.33,-112940.0
2019-07-23T20:27:02.0Z,-24026.67,11000.0,-112966.67
2019-07-23T20:27:02.02Z,-24046.67,10980.0,-113006.67
2019-07-23T20:27:02.04Z,-24073.33,11073.33,-112993.33
2019-07-23T20:27:02.06Z,-24073.33,11166.67,-112940.0
2019-07-23T20:27:02.08Z,-24053.33,11180.0,-112906.67
2019-07-23T20:27:02.1Z,-24033.33,11093.33,-112940.0
2019-07-23T20:27:02.12Z,-24026.67,11000.0,-112966.67
2019-07-23T20:27:02.14Z,-24033.33,10986.67,-112993.33
2019-07-23T20:27:02.16Z,-24060.0,11073.33,-112986.67
2019-07-23T20:27:02.18Z,-24060.0,11166.67,-112933.33
2019-07-23T20:27:02.2Z,-24046.67,11166.67,-112906.67
2019-07-23T20:27:02.22Z,-24033.33,11086.67,-112940.0
2019-07-23T20:27:02.24Z,-24026.67,11006.67,-112980.0
2019-07-23T20:27:02.26Z,-24046.67,11000.0,-112993.33
2019-07-23T20:27:02.28Z,-24073.33,11093.33,-112986.67
2019-07-23T20:27:02.3Z,-24073.33,11166.67,-112940.0
2019-07-23T20:27:02.32Z,-24053.33,11160.0,-112906.67
2019-07-23T20:27:02.34Z,-24033.33,11073.33,-112953.33
2019-07-23T20:27:02.36Z,-24026.67,11000.0,-112980.0
2019-07-23T20:27:02.38Z,-24046.67,11013.33,-113006.67
2019-07-23T20:27:02.4Z,-24060.0,11120.0,-112993.33
2019-07-23T20:27:02.42Z,-24060.0,11193.33,-112940.0
2019-07-23T20:27:02.44Z,-24046.67,11160.0,-112906.67
2019-07-23T20:27:02.46Z,-24033.33,11060.0,-112953.33
2019-07-23T20:27:02.48Z,-24033.33,10973.33,-112986.67
2019-07-23T20:27:02.5Z,-24053.33,11006.67,-112993.33
2019-07-23T20:27:02.52Z,-24073.33,11120.0,-112986.67
2019-07-23T20:27:02.54Z,-24060.0,11193.33,-112933.33
2019-07-23T20:27:02.56Z,-24033.33,11180.0,-112926.67
2019-07-23T20:27:02.58Z,-24026.67,11073.33,-112966.67
2019-07-23T20:27:02.6Z,-24033.33,10980.0,-112993.33
2019-07-23T20:27:02.62Z,-24053.33,11013.33,-112993.33
2019-07-23T20:27:02.64Z,-24073.33,11106.67,-112980.0
2019-07-23T20:27:02.66Z,-24073.33,11166.67,-112926.67
2019-07-23T20:27:02.68Z,-24046.67,11146.67,-112906.67
2019-07-23T20:27:02.70Z,-24026.67,11046.67,-112960.0
2019-07-23T20:27:02.72Z,-24026.67,11006.67,-112993.33
2019-07-23T20:27:02.74Z,-24046.67,11046.67,-112993.33
2019-07-23T20:27:02.76Z,-24073.33,11133.33,-112980.0
2019-07-23T20:27:02.78Z,-24073.33,11180.0,-112926.67
2019-07-23T20:27:02.8Z,-24046.67,11126.67,-112906.67
